type,dp(Z),dp(V),zeta
acravanté,0.000402576489533,0,0.000402576489533
âcre,0.001207729468599,0,0.001207729468599
âcreté,0.000805152979066,0,0.000805152979066
acrise,0,0.000333555703803,-0.000333555703803
acrostiche,0.000402576489533,0,0.000402576489533
acruto,0.000402576489533,0,0.000402576489533
acte,0.02133655394525,0.021347565043362,-1.10110981126343E-05
actéon,0.000402576489533,0,0.000402576489533
acter,0.002415458937198,0,0.002415458937198
acteur,0.022946859903382,0.003335557038025,0.019611302865356
actif,0.007648953301127,0.003002001334223,0.004646951966904
action,0.100644122383253,0.09606404269513,0.004580079688123
actium,0,0.000333555703803,-0.000333555703803
activité,0.000805152979066,0.002001334222815,-0.001196181243749
actor,0,0.001000667111408,-0.001000667111408
actualité,0.000402576489533,0,0.000402576489533
actuel,0.000805152979066,0,0.000805152979066
actuellement,0.01207729468599,0,0.01207729468599
acute,0.000402576489533,0,0.000402576489533
acxord,0.000402576489533,0,0.000402576489533
adage,0.000402576489533,0,0.000402576489533
adam,0.001207729468599,0.003669112741828,-0.002461383273229
adanaxe,0,0.003335557038025,-0.003335557038025
adarne,0,0.000333555703803,-0.000333555703803
addetur,0.000402576489533,0,0.000402576489533
addio,0.000402576489533,0,0.000402576489533
addition,0.000402576489533,0,0.000402576489533
addolcir,0.000402576489533,0,0.000402576489533
adélaïde,0,0.009339559706471,-0.009339559706471
adeste,0.000402576489533,0,0.000402576489533
adesto,0.000402576489533,0,0.000402576489533
adhérent,0.000402576489533,0,0.000402576489533
adhérer,0.000402576489533,0.000333555703803,6.90207857303449E-05
adieu,0.297101449275362,0.198799199466311,0.098302249809052
adieu188,0.000402576489533,0,0.000402576489533
adiré,0.000402576489533,0,0.000402576489533
adiusias,0.000402576489533,0,0.000402576489533
adjectif,0.001610305958132,0,0.001610305958132
adjoint,0.000402576489533,0,0.000402576489533
adjuger,0.000402576489533,0.000667111407605,-0.000264534918072
adjurer,0.000402576489533,0,0.000402576489533
admettons-nous,0,0.000333555703803,-0.000333555703803
admettre,0.014090177133655,0.019012675116745,-0.004922497983089
admettre|admirer,0.000805152979066,0.002001334222815,-0.001196181243749
admile,0.000402576489533,0,0.000402576489533
admiler,0.000402576489533,0,0.000402576489533
admirable,0.060789049919485,0.011674449633089,0.049114600286396
admirablement,0.001610305958132,0,0.001610305958132
admirateur,0.00402576489533,0.001667778519013,0.002357986376317
admiration,0.006038647342995,0.00400266844563,0.002035978897365
admirationis,0.000402576489533,0,0.000402576489533
admiré,0,0.000333555703803,-0.000333555703803
admirer,0.097423510466989,0.122748498999333,-0.025324988532344
admis,0.000805152979066,0.001000667111408,-0.000195514132342
adolescence,0.000402576489533,0.000333555703803,6.90207857303449E-05
adolescent,0.002012882447665,0,0.002012882447665
adonal,0,0.000333555703803,-0.000333555703803
adonc,0.000402576489533,0,0.000402576489533
adonias,0,0.002001334222815,-0.002001334222815
adonis,0.00402576489533,0.000667111407605,0.003358653487725
adonner,0.001610305958132,0,0.001610305958132
adonnit,0.000402576489533,0,0.000402576489533
adopté,0.000402576489533,0.001667778519013,-0.00126520202948
adopter,0.005636070853462,0.013675783855904,-0.008039713002442
adoptés,0,0.000333555703803,-0.000333555703803
adoptif,0,0.000333555703803,-0.000333555703803
adoption,0,0.002334889926618,-0.002334889926618
adora-t-il,0,0.000333555703803,-0.000333555703803
adorable,0.053140096618358,0.036691127418279,0.016448969200079
adorablele,0,0.000333555703803,-0.000333555703803
adorant,0.000402576489533,0.001000667111408,-0.000598090621875
adorate,0.000402576489533,0,0.000402576489533
adorateur,0.005636070853462,0.011007338225484,-0.005371267372021
adoration,0.002012882447665,0,0.002012882447665
adoré,0.011272141706924,0.026017344896598,-0.014745203189673
adorer,0.147342995169082,0.216477651767845,-0.069134656598763
adorés,0,0.000333555703803,-0.000333555703803
adorez-le,0,0.000333555703803,-0.000333555703803
adouci,0.001610305958132,0.00266844563042,-0.001058139672288
adoucir,0.048309178743961,0.085056704469647,-0.036747525725685
adoucissement,0.001610305958132,0.001000667111408,0.000609638846724
adraste,0.001207729468599,0.00133422281521,-0.000126493346611
adresse,0.110708534621578,0.089392928619079,0.021315606002499
adresse-t-elle,0.000805152979066,0,0.000805152979066
adresser,0.057971014492754,0.043695797198132,0.014275217294622
adressons-nous,0.000402576489533,0,0.000402576489533
adréte,0.000402576489533,0,0.000402576489533
adrette,0.000402576489533,0,0.000402576489533
adrian,0.000402576489533,0.003002001334223,-0.00259942484469
adrien,0,0.009006004002668,-0.009006004002668
adroit,0.047101449275362,0.024016010673783,0.02308543860158
adroitement,0.026570048309179,0.007338225483656,0.019231822825523
adulateur,0.002012882447665,0.001667778519013,0.000345103928652
adulte,0.000402576489533,0,0.000402576489533
adultère,0.003623188405797,0.011007338225484,-0.007384149819687
adultérin,0.000402576489533,0,0.000402576489533
aduram,0,0.000333555703803,-0.000333555703803
advenir,0.006441223832528,0.00400266844563,0.002438555386898
adverbe,0.000402576489533,0,0.000402576489533
adversaire,0.006843800322061,0.032021347565043,-0.025177547242982
adverse,0.002415458937198,0.000667111407605,0.001748347529593
adversité,0.005233494363929,0.017678452301534,-0.012444957937605
advolate,0.000402576489533,0,0.000402576489533
aeacide,0,0.002001334222815,-0.002001334222815
aeacides,0,0.000667111407605,-0.000667111407605
aeacidès,0,0.00133422281521,-0.00133422281521
aegée,0,0.002334889926618,-0.002334889926618
ægine,0,0.000667111407605,-0.000667111407605
aeglé,0,0.001667778519013,-0.001667778519013
aemon,0,0.00266844563042,-0.00266844563042
aenarus,0,0.000333555703803,-0.000333555703803
aenée,0.000402576489533,0,0.000402576489533
aérer,0.000402576489533,0,0.000402576489533
aérien,0.000805152979066,0,0.000805152979066
aerope,0,0.002334889926618,-0.002334889926618
aeson,0,0.000333555703803,-0.000333555703803
æson,0,0.000333555703803,-0.000333555703803
aetin,0,0.000333555703803,-0.000333555703803
aétius,0,0.001667778519013,-0.001667778519013
afdrubal,0,0.000667111407605,-0.000667111407605
affabilité,0.001207729468599,0,0.001207729468599
affable,0.006843800322061,0.00133422281521,0.005509577506851
affadir,0.000805152979066,0,0.000805152979066
affaiblir,0.011674718196457,0.047031354236158,-0.0353566360397
affair,0.000402576489533,0,0.000402576489533
affaire-ici,0.000402576489533,0,0.000402576489533
affaire|affairé,0.411433172302738,0.036357571714476,0.375075600588261
affairer,0.002012882447665,0,0.002012882447665
affaisser,0,0.001000667111408,-0.001000667111408
affamé,0.001207729468599,0.000333555703803,0.000874173764796
